GISJOIN_ZCTA,COUNTYFP10,STATEFP10,ZCTA5CE10,GISJOIN_CBSA,p_overlap,urban,GISJOIN_county,YEAR,tot_hh,p20_hh_state,p80_hh_state,p20_cutoff_state,p80_cutoff_state,p20_static,p80_static,threshold_bin_p20_state,threshold_bin_p80_state,poor_income_static,rich_income_static,static_ice_income,poor,rich,ice_income,poor_black_static,rich_white_static,static_ice_race,poor_black,rich_white,ice_race,tot_pop,med_hh_inc,p_nh_white,p_nh_black,p_nh_ai,p_nh_asian,p_hisp,p_no_hs,p_ling_iso,p_pov,p_rent_occ,pop_density
G14842,123,36,14842,NA,NA,NA,G3601230,2007-2011,9552,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,2187.5,1088.5,-0.11505443886097153,2187.5,1088.5,-0.11505443886097153,35,1081.5,0.10955820770519263,35,1081.5,0.10955820770519263,919,69375,100,0,0,0,0,18.021201413427562,5.923344947735192,36.01741022850925,5.574912891986063,0.02119925616102392
G14865,015,36,14865,G21300,1.5017235086686943e-13,0,G3600150,2007-2011,35528,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,8773,4365.5,-0.12405708173834722,8773,4365.5,-0.12405708173834722,536,4065,0.09933010583201982,536,4065,0.09933010583201982,2466,41276,96.43146796431468,1.094890510948905,0,0.16220600162206003,2.068126520681265,15.121412803532008,0,14.486830154405087,30.896686159844055,0.04772623929147578
G14869,015,36,14869,G21300,5.849078397381773e-13,0,G3600150,2007-2011,35528,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,8773,4365.5,-0.12405708173834722,8773,4365.5,-0.12405708173834722,536,4065,0.09933010583201982,536,4065,0.09933010583201982,1398,49375,97.99713876967095,0,0,0,1.0014306151645207,14.587525150905433,0,9.300648882480173,22.203389830508474,0.026770288270040424
G14878,097,36,14878,NA,NA,NA,G3600970,2007-2011,7610,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,1399,700,-0.09185282522996058,1399,700,-0.09185282522996058,3,700,0.09159001314060447,3,700,0.09159001314060447,779,62717,98.45956354300385,0,0,0,1.540436456996149,3.180212014134275,0,3.8510911424903727,23.154362416107382,0.018752429934680313
G14880,003,36,14880,NA,NA,NA,G3600030,2007-2011,18936,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,4889,1515.5,-0.17815272496831433,4889,1515.5,-0.17815272496831433,55,1495.5,0.07607203210815378,55,1495.5,0.07607203210815378,1449,43631,98.55072463768117,0,0.2070393374741201,0,0.8971704623878536,8.37742504409171,0.6015037593984963,10.452961672473867,20.30075187969925,0.010147732044468194
G14884,003,36,14884,G40380,5.625722110426533e-13,0,G3600030,2007-2011,18936,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,4889,1515.5,-0.17815272496831433,4889,1515.5,-0.17815272496831433,55,1495.5,0.07607203210815378,55,1495.5,0.07607203210815378,291,48229,100,0,0,0,0,11.34020618556701,0,12.714776632302405,21.487603305785125,0.0057659963374262395
G14886,097,36,14886,G42900,42.68301114799388,0,G3600970,2007-2011,7610,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,1399,700,-0.09185282522996058,1399,700,-0.09185282522996058,3,700,0.09159001314060447,3,700,0.09159001314060447,6787,55443,95.9481361426256,0.7661706203035215,0,0.5156917636658318,1.443936938264329,6.697753285290377,0,12.0939161252215,23.662176920276664,0.03366657913531361
G14891,097,36,14891,NA,NA,NA,G3600970,2007-2011,7610,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,1399,700,-0.09185282522996058,1399,700,-0.09185282522996058,3,700,0.09159001314060447,3,700,0.09159001314060447,4382,47257,96.09767229575536,0.6617982656321315,0.3879507074395253,0.11410314924691922,0.8443633044272023,9.765865680837955,0,7.421965317919075,24.31025507548152,0.03236540821293011
G14895,003,36,14895,NA,NA,NA,G3600030,2007-2011,18936,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,4889,1515.5,-0.17815272496831433,4889,1515.5,-0.17815272496831433,55,1495.5,0.07607203210815378,55,1495.5,0.07607203210815378,9723,38363,95.55692687442148,1.2958963282937366,0.6376632726524736,0.3291165278206315,1.470739483698447,11.112766274392968,0.1612531674729325,19.779063650710153,38.12485602395761,0.03296696606398061
G14897,003,36,14897,G18500,7.42361636191629,0,G3600030,2007-2011,18936,1443137.4000000001,5772549.600000001,22500,112500,20453,100000,4,13,4889,1515.5,-0.17815272496831433,4889,1515.5,-0.17815272496831433,55,1495.5,0.07607203210815378,55,1495.5,0.07607203210815378,919,45625,98.80304678998912,0,0.3264417845484222,0,0.8705114254624592,14.106583072100312,0,14.207650273224044,20.918367346938776,0.013896462896849758
